Diameter d1mm,Stigning Pitch P mm,Totallgd. Length I1mm,Gevindlgd. Length I2 mm,Halsdiam. Shankdiam. d2 mm,Firkant Square a mm,Antal skaer Flutes,Bor Drill b mm
3,0.35,56,10,2.2,-,3,2.65
4,0.5,63,10,2.8,2.1,3,3.5
5,0.5,70,12,3.5,2.7,3,4.5
6,0.75,80,12,4.5,3.4,4,5.2
7,0.75,80,12,5.5,4.3,4,6.2
8,0.75,80,15,6,4.9,4,7.2
8,1,90,18,6,4.9,4,7
10,0.75,90,16,7,5.5,4,9.2
10,1,90,16,7,5.5,4,9
10,1.25,100,20,7,5.5,4,8.8
11,1,90,16,8,6.2,4,10
12,1,100,20,9,7,4,11
12,1.25,100,20,9,7,4,10.8
12,1.5,100,20,9,7,4,10.5
14,1,100,20,11,9,4,13
14,1.5,100,20,11,9,4,12.5
16,1,100,20,12,9,4,15
16,1.5,100,20,12,9,4,14.5
18,1,110,20,14,11,4,17
18,1.5,110,25,14,11,4,16.5
20,1,125,24,16,12,4,19
20,1.5,125,24,16,12,4,18.5
22,1.5,125,24,18,14.5,4,20.5
24,1.5,140,28,18,14.5,4,22.5
26,1.5,140,28,18,14.5,4,24.5
27,1.5,140,28,-,16,4,25.5
28,1.5,140,28,20,16,4,26.5
30,1.5,150,28,22,18,4,28.5
32,1.5,150,28,22,18,4,30.5
33,1.5,160,28,25,20,4,31.5
36,1.5,170,30,28,22,6,34.5
39,1.5,170,30,32,26,6,37.5
40,1.5,170,30,32,26,6,38.5
42,1.5,170,30,32,26,6,40.5